e,word
0,것
1,하다
2,있다
3,있다
4,되다
5,수
6,하다
7,나
8,그
9,없다
10,않다
11,사람
12,우리
13,이
14,그
15,아니다
16,보다
17,등
18,때
19,거
20,보다
21,같다
22,주다
23,대하다
24,가다
25,년
26,한
27,말
28,일
29,이
30,때문
31,말하다
32,위하다
33,그러나
34,오다
35,알다
36,씨
37,그렇다
38,크다
39,또
40,일
41,사회
42,많다
43,안
44,좋다
45,더
46,받다
47,그것
48,집
49,나오다
50,따르다
51,그리고
52,문제
53,그런
54,살다
55,저
56,못하다
57,생각하다
58,모르다
59,속
60,만들다
61,데
62,두
63,앞
64,경우
65,중
66,어떤
67,잘
68,그녀
69,먹다
70,오다
71,자신
72,문화
73,원
74,생각
75,어떻다
76,명
77,통하다
78,그러다
79,소리
80,다시
81,다른
82,이런
83,여자
84,개
85,정도
86,뒤
87,듣다
88,다
89,좀
90,들다
91,싶다
92,보이다
93,가지다
94,함께
95,아이
96,지나다
97,많이
98,시간
99,너
100,주다
101,인간
102,사실
103,나다
104,이렇다
105,어머니
106,눈
107,뭐
108,점
109,의하다
110,시대
111,다음
112,이러하다
113,누구
114,전
115,곳
116,여러
117,안
118,하나
119,세계
120,버리다
121,위
122,운동
123,퍼센트
124,학교
125,자기
126,가장
127,대통령
128,가지
129,들다
130,시작하다
131,바로
132,어느
133,그래서
134,무엇
135,정부
136,모든
137,번
138,그거
139,돈
140,국가
141,그런데
142,날
143,여기
144,모두
145,여성
146,친구
147,마음
148,후
149,가다
150,놓다
151,관계
152,아버지
153,남자
154,어디
155,몸
156,얼굴
157,들어가다
158,왜
159,나타나다
160,말다
161,지역
162,다르다
163,모습
164,물
165,만나다
166,내다
167,보이다
168,쓰다
169,이것
170,없이
171,이번
172,길
173,생활
174,쓰다
175,지금
176,뿐
177,사이
178,방법
179,새롭다
180,우리나라
181,내다
182,앉다
183,처음
184,손
185,몇
186,그때
187,과정
188,삶
189,갖다
190,찾다
191,특히
192,시
193,이상
194,지금
195,나가다
196,이야기
197,교육
198,사다
199,경제
200,아직
201,잡다
202,같이
203,선생님
204,예술
205,서다
206,못
207,역사
208,읽다
209,이제
210,결과
211,내용
212,물론
213,동안
214,책
215,일어나다
216,당신
217,시장
218,넣다
219,중요하다
220,무슨
221,느끼다
222,어렵다
223,힘
224,너무
225,나라
226,부르다
227,의미
228,자리
229,밝히다
230,죽다
231,이미
232,쪽
233,정치
234,국민
235,생명
236,얘기
237,학생
238,연구
239,엄마
240,이름
241,하나
242,내리다
243,사건
244,및
245,쉽다
246,짓다
247,또한
248,이유
249,또는
250,필요하다
251,글
252,생기다
253,사용하다
254,남편
255,들어오다
256,밖
257,세상
258,작다
259,타다
260,대학
261,작품
262,상황
263,가운데
264,보내다
265,두다
266,즉
267,따라서
268,상태
269,이후
270,당시
271,문학
272,더욱
273,아주
274,지방
275,밤
276,높다
277,최근
278,채
279,현실
280,환경
281,컴퓨터
282,먼저
283,다니다
284,얼마나
285,자체
286,열다
287,머리
288,묻다
289,남다
290,부분
291,기업
292,거기
293,변화
294,아들
295,뜻
296,아
297,기다리다
298,떨어지다
299,선거
300,관하다
301,그냥
302,나누다
303,이용하다
304,거의
305,곧
306,중심
307,활동
308,오늘
309,서로
310,관심
311,역시
312,이거
313,애
314,광고
315,나다
316,방
317,정신
318,이르다
319,땅
320,이루다
321,아침
322,웃다
323,현상
324,두다
325,떠나다
326,기술
327,전체
328,그래
329,얻다
330,분
331,아름답다
332,끝
333,민족
334,간
335,조사
336,듯
337,입
338,뭐
339,그대로
340,영화
341,필요
342,줄
343,하늘
344,년대
345,과학
346,듯하다
347,자연
348,정말
349,구조
350,결국
351,밥
352,입다
353,오히려
354,프로그램
355,네
356,이루어지다
357,남
358,하루
359,그림
360,적
361,터
362,마시다
363,치다
364,혼자
365,나가다
366,이제
367,교수
368,술
369,사랑
370,의식
371,전화
372,끝나다
373,돌아오다
374,맞다
375,아빠
376,걸리다
377,지키다
378,한번
379,커피
380,가슴
381,길다
382,바라보다
383,알아보다
384,회사
385,맛
386,대부분
387,산업
388,매우
389,오르다
390,음식
391,표정
392,꼭
393,일부
394,요즘
395,계획
396,느낌
397,얼마
398,고개
399,성격
400,계속
401,세기
402,세우다
403,아내
404,가족
405,현재
406,세
407,놓다
408,발전
409,차
410,놀다
411,향하다
412,관련
413,형태
414,각
415,도시
416,작업
417,분위기
418,그러하다
419,자기
420,나이
421,우선
422,믿다
423,바꾸다
424,낳다
425,바
426,정보
427,열리다
428,좋아하다
429,그리다
430,만큼
431,배우다
432,시
433,역할
434,옆
435,행동
436,어
437,국내
438,비하다
439,기관
440,입장
441,만하다
442,예
443,아래
444,방식
445,영향
446,그럼
447,나서다
448,흐르다
449,저
450,깊다
451,배
452,내
453,모양
454,산
455,새
456,하지만
457,조건
458,문
459,꽃
460,단계
461,올리다
462,그동안
463,교사
464,갑자기
465,넘다
466,지니다
467,바람
